Data,Età,Infected,Removed
2021-04-26,90+,0.014145105717888082,0.023278641813057593
2021-04-27,0-19,0.1634641286450808,0.14128935246693525
2021-04-27,20-39,0.24518827005325639,0.24171465170465278
2021-04-27,40-59,0.32514344076325036,0.33733986001526717
2021-04-27,60-79,0.20129964606180736,0.1914021665839824
2021-04-27,80-89,0.05088671817041181,0.06498185297763225
2021-04-27,90+,0.01401779630619327,0.02327211625153017
2021-04-28,0-19,0.16609935602575898,0.1413196848221877
2021-04-28,20-39,0.2461183488144345,0.2415127903151383
2021-04-28,40-59,0.3243167047511648,0.33735866801256265
2021-04-28,60-79,0.1999985161883847,0.19165408812864465
2021-04-28,80-89,0.049816007359705615,0.06493472171636366
2021-04-28,90+,0.013651066860551385,0.023220047005103002
2021-04-29,0-19,0.16648562169630804,0.14159994546888016
2021-04-29,20-39,0.24665900066206403,0.24144889909269626
2021-04-29,40-59,0.32378870309685376,0.337357014155772
2021-04-29,60-79,0.1997600207254828,0.19167387012303885
2021-04-29,80-89,0.0497063132426442,0.06477772234852987
2021-04-29,90+,0.013600340576647168,0.023142548811082846
2021-04-30,0-19,0.16716550015188594,0.14191195009231627
2021-04-30,20-39,0.2467521853841018,0.24147489254720467
2021-04-30,40-59,0.3231454111174333,0.3373439860869815
2021-04-30,60-79,0.19977240240365265,0.19161871190793164
2021-04-30,80-89,0.04957032472749197,0.06460193208420395
2021-04-30,90+,0.013594176215434387,0.023048527281361933
2021-05-01,0-19,0.1675971600732425,0.1421951140262259
2021-05-01,20-39,0.24682659699445728,0.24147989207729154
2021-05-01,40-59,0.3229619563114385,0.33725458866763863
2021-05-01,60-79,0.1996105703225487,0.19158128946233302
2021-05-01,80-89,0.0493845122764765,0.06449905101109722
2021-05-01,90+,0.013619204021836542,0.02299006475541365
2021-05-02,0-19,0.16787254495449033,0.14234609573675513
2021-05-02,20-39,0.24669489959296756,0.2415177772452925
2021-05-02,40-59,0.32297970739010046,0.3372158842601649
2021-05-02,60-79,0.19957790377510565,0.19152583389274017
2021-05-02,80-89,0.049270959997142545,0.0644406932641076
2021-05-02,90+,0.013603984290193483,0.022953715600939683
2021-05-03,0-19,0.16888978208172092,0.14253033347581906
2021-05-03,20-39,0.24662715846279437,0.24154262316628558
2021-05-03,40-59,0.3225589351479688,0.3371926837325894
2021-05-03,60-79,0.19927962959500975,0.1914990485821091
2021-05-03,80-89,0.0490643285786394,0.06434000490214072
2021-05-03,90+,0.013580166133866756,0.02289530614105614
2021-05-04,0-19,0.17045354516997327,0.14252291367309305
2021-05-04,20-39,0.24646239709177614,0.24157995090908607
2021-05-04,40-59,0.32266119778918156,0.33711989925341274
2021-05-04,60-79,0.19838373667849085,0.19155502723874984
2021-05-04,80-89,0.04858673478054739,0.06433409478322612
2021-05-04,90+,0.013452388490030777,0.022888114142432203
2021-05-05,0-19,0.17115184699114253,0.14281734415052952
2021-05-05,20-39,0.24656496808395542,0.2415791556433895
2021-05-05,40-59,0.3222665957943889,0.33706862437720686
2021-05-05,60-79,0.19814289544614255,0.19154287130096395
2021-05-05,80-89,0.048425208579308744,0.06418717788839218
2021-05-05,90+,0.01344848510506188,0.022804826639517994
2021-05-06,0-19,0.17137622258978535,0.14303047361134355
2021-05-06,20-39,0.24689099931095052,0.24156004199059775
2021-05-06,40-59,0.3221929117780157,0.3370222369940911
2021-05-06,60-79,0.19782500035477377,0.1915265127089436
2021-05-06,80-89,0.04831860890844787,0.06409417690587342
2021-05-06,90+,0.013396257058026795,0.022766557789150557
2021-05-07,0-19,0.1718393138100797,0.14319708826184424
2021-05-07,20-39,0.2472370958737248,0.24152916970167043
2021-05-07,40-59,0.3222114018169822,0.3369671764890027
2021-05-07,60-79,0.19744137948535756,0.19154349579384186
2021-05-07,80-89,0.047960653200020305,0.06403049082095358
2021-05-07,90+,0.013310155813835456,0.022732578932687188
2021-05-08,0-19,0.171758375974902,0.14346236038237034
2021-05-08,20-39,0.2475057675881503,0.2415326180589076
2021-05-08,40-59,0.32226648252959633,0.3368815336171429
2021-05-08,60-79,0.19721718861011103,0.1915159763402973
2021-05-08,80-89,0.047890539558869315,0.0639317904456205
2021-05-08,90+,0.013361645738371026,0.02267572115566135
2021-05-09,0-19,0.17167774113052667,0.14367190862574242
2021-05-09,20-39,0.24760338753344016,0.24151737018055766
2021-05-09,40-59,0.3223343406866917,0.3368342483155811
2021-05-09,60-79,0.1971918285550956,0.19146995562089902
2021-05-09,80-89,0.047839114642378854,0.06386135832141453
2021-05-09,90+,0.01335358745186703,0.02264515893580526
2021-05-10,0-19,0.17193426042983564,0.14397324322969224
2021-05-10,20-39,0.24783642229912772,0.2415393845159052
2021-05-10,40-59,0.32199275309262665,0.3367830095545898
2021-05-10,60-79,0.19705763195017303,0.19140444228777648
2021-05-10,80-89,0.04780290494576209,0.06372483196335611
2021-05-10,90+,0.013376027282474817,0.02257508844868017
2021-05-11,0-19,0.17316113829685092,0.14411399351158388
2021-05-11,20-39,0.24803213034400493,0.24152638008059696
2021-05-11,40-59,0.32201947283713345,0.3366763206120636
2021-05-11,60-79,0.19624017692519247,0.19145967539541836
2021-05-11,80-89,0.047310239106130705,0.06367440303183275
2021-05-11,90+,0.013236842490687505,0.02254922736850448
2021-05-12,0-19,0.17313530567295674,0.14443931135896582
2021-05-12,20-39,0.24868047701252058,0.24142177134875487
2021-05-12,40-59,0.3219222705055195,0.3366040325481427
2021-05-12,60-79,0.19590121105092234,0.19146361218558303
2021-05-12,80-89,0.04707621485405877,0.06358235845183476
2021-05-12,90+,0.013284520904022065,0.022488914106718848
2021-05-13,0-19,0.1730437365857892,0.14464340498552494
2021-05-13,20-39,0.24890433226854122,0.2414121770459843
2021-05-13,40-59,0.3220428653922541,0.33655270169145735
2021-05-13,60-79,0.19583496056263747,0.19141307434818117
2021-05-13,80-89,0.046949320569179775,0.06351589207647977
2021-05-13,90+,0.013224784621598257,0.022462749852372423
2021-05-14,0-19,0.1730437365857892,0.14464340498552494
2021-05-14,20-39,0.24890433226854122,0.2414121770459843
2021-05-14,40-59,0.3220428653922541,0.33655270169145735
2021-05-14,60-79,0.19583496056263747,0.19141307434818117
2021-05-14,80-89,0.046949320569179775,0.06351589207647977
2021-05-14,90+,0.013224784621598257,0.022462749852372423
2021-05-15,0-19,0.17312718509215574,0.14513405147515573
2021-05-15,20-39,0.24933810800719594,0.24144844525283074
2021-05-15,40-59,0.32243304707918946,0.3363740180778571
2021-05-15,60-79,0.1951359424323682,0.1913590003203449
2021-05-15,80-89,0.04671090594345066,0.06332452408425325
2021-05-15,90+,0.013254811445639999,0.02235996078955828
2021-05-16,0-19,0.17302635973874927,0.14532222568415948
2021-05-16,20-39,0.249450588978892,0.2414540512419974
2021-05-16,40-59,0.32253467327387303,0.33630940884053456
2021-05-16,60-79,0.19498738452947634,0.1913373870895431
2021-05-16,80-89,0.04676374212710707,0.0632450821301535
2021-05-16,90+,0.013237251351902256,0.022331845013611993
2021-05-17,0-19,0.17334605762038638,0.14551447544743903
2021-05-17,20-39,0.2496573899736057,0.2414466843653471
2021-05-17,40-59,0.32282376002682417,0.33621878808088906
2021-05-17,60-79,0.1946110924832134,0.191315012706048
2021-05-17,80-89,0.0464075382803298,0.06319874126055018
2021-05-17,90+,0.013154161615640557,0.0223062981397266
2021-05-18,0-19,0.17199648129865758,0.1459020378841134
2021-05-18,20-39,0.2483026777178411,0.24169579819067227
2021-05-18,40-59,0.3247528841032083,0.33586658654621304
2021-05-18,60-79,0.19526189860657345,0.19116607506329394
2021-05-18,80-89,0.046480517880659114,0.06310635373329815
2021-05-18,90+,0.013205540393060454,0.02226314858240915
2021-05-19,0-19,0.1712869479488069,0.14641540040737178
