Data,Età,Infected,Deceased,Recovered
2020-12-20,60-79,0.19882013966333245,0.3460226929808679,0.1844302709235712
2020-12-20,80-89,0.06617700468725297,0.41281912004345467,0.05840271711416572
2020-12-20,90+,0.02346759870505913,0.19622487778381315,0.021967033433213656
2020-12-21,0-19,0.12302976984419786,0.0,0.12654174342035615
2020-12-21,20-39,0.24766864375514375,0.002713724549461753,0.2528065383556713
2020-12-21,40-59,0.34132162215852657,0.04219017061980869,0.3547743970865358
2020-12-21,60-79,0.19877543491216618,0.34593241176646977,0.18493383302631858
2020-12-21,80-89,0.06583704628657377,0.412606075144682,0.05886383366152152
2020-12-21,90+,0.02336748304339189,0.1965576179195778,0.022079654449596645
2020-12-22,0-19,0.12355809709418367,7.404555282409739e-05,0.12668549211509778
