Data,Età,Deceased
2021-06-14,20-39,0.002523168719055478
2021-06-14,40-59,0.044099911133680336
2021-06-14,60-79,0.3553065888028437
2021-06-14,80-89,0.40407198171892855
2021-06-14,90+,0.19382379078329312
2021-06-15,0-19,0.00021412766767385977
2021-06-15,20-39,0.0025219480859365708
2021-06-15,40-59,0.04412616084953169
2021-06-15,60-79,0.3553726217950243
2021-06-15,80-89,0.40396374104827387
2021-06-15,90+,0.19380140055355968
2021-06-16,0-19,0.00021403939910420548
2021-06-16,20-39,0.0025367632486424352
2021-06-16,40-59,0.04415553529668239
2021-06-16,60-79,0.3553926037496532
2021-06-16,80-89,0.4039082008799397
2021-06-16,90+,0.19379285742597804
2021-06-17,0-19,0.00021394272673967132
2021-06-17,20-39,0.002551465111487932
2021-06-17,40-59,0.044191058778783224
2021-06-17,60-79,0.3554143357474525
2021-06-17,80-89,0.4038763252563351
2021-06-17,90+,0.1937528723792016
2021-06-18,0-19,0.00021386477409543123
2021-06-18,20-39,0.0025505354540269944
2021-06-18,40-59,0.04424624548507699
2021-06-18,60-79,0.35537196628857487
2021-06-18,80-89,0.40384006083264684
2021-06-18,90+,0.19377732716557886
2021-06-19,0-19,0.00021382412569690825
2021-06-19,20-39,0.0025500506842372024
2021-06-19,40-59,0.04426159401926001
2021-06-19,60-79,0.35537569690826154
2021-06-19,80-89,0.4038187404967055
2021-06-19,90+,0.19378009376583882
2021-06-20,0-19,0.00021380888653083205
2021-06-20,20-39,0.0025498689430714042
2021-06-20,40-59,0.04425843951188223
2021-06-20,60-79,0.3553899636524893
2021-06-20,80-89,0.4038137170278981
2021-06-20,90+,0.19377420197812814
2021-06-21,0-19,0.00021373272327153555
2021-06-21,20-39,0.002548960625682757
2021-06-21,40-59,0.04425058974399569
2021-06-21,60-79,0.35541377072020014
2021-06-21,80-89,0.4037965264474455
2021-06-21,90+,0.1937764197394044
2021-06-22,0-19,0.00022950663986451194
2021-06-22,20-39,0.002564143148831099
2021-06-22,40-59,0.04426312540559363
2021-06-22,60-79,0.3554108168853575
2021-06-22,80-89,0.40378131974231946
2021-06-22,90+,0.19375108817803385
2021-06-23,0-19,0.00022943037974683544
2021-06-23,20-39,0.0025712025316455694
2021-06-23,40-59,0.044264240506329114
2021-06-23,60-79,0.3554113924050633
2021-06-23,80-89,0.40378955696202534
2021-06-23,90+,0.19373417721518987
2021-06-24,0-19,0.00022935598421398122
2021-06-24,20-39,0.002554551134521239
2021-06-24,40-59,0.04427361378034024
2021-06-24,60-79,0.355438504915336
2021-06-24,80-89,0.40378516462223485
2021-06-24,90+,0.19371880956335366
2021-06-25,0-19,0.00022931427125506072
2021-06-25,20-39,0.002546179149797571
2021-06-25,40-59,0.044273469129554655
2021-06-25,60-79,0.35546084261133604
2021-06-25,80-89,0.4037433577935223
2021-06-25,90+,0.1937468370445344
2021-06-26,0-19,0.00023714477688628908
2021-06-26,20-39,0.002537449112683293
2021-06-26,40-59,0.04429073949646259
2021-06-26,60-79,0.3554958302043397
2021-06-26,80-89,0.4036994585194261
2021-06-26,90+,0.19373937789020196
2021-06-27,0-19,0.00023713352989068143
2021-06-27,20-39,0.0025373287698302912
2021-06-27,40-59,0.044296543383579294
2021-06-27,60-79,0.3554947791101169
2021-06-27,80-89,0.40368821683489975
2021-06-27,90+,0.1937459983716831
2021-06-28,0-19,0.00023710354311727932
2021-06-28,20-39,0.0025370079113548887
2021-06-28,40-59,0.04429094185430778
2021-06-28,60-79,0.35552095600148587
2021-06-28,80-89,0.40366878215716806
2021-06-28,90+,0.19374520853256616
2021-06-29,0-19,0.00023706607031379645
2021-06-29,20-39,0.002536606952357622
2021-06-29,40-59,0.04431555074399235
2021-06-29,60-79,0.35550427904256915
2021-06-29,80-89,0.4036840067326764
2021-06-29,90+,0.19372249045809067
2021-06-30,0-19,0.0002290498380854593
2021-06-30,20-39,0.0025511413000552877
2021-06-30,40-59,0.04435668588579101
2021-06-30,60-79,0.3555406366005845
2021-06-30,80-89,0.4036253060579733
2021-06-30,90+,0.19369718031751046
2021-07-01,0-19,0.0002290100448543812
2021-07-01,20-39,0.002550698085791901
2021-07-01,40-59,0.04434897972076568
2021-07-01,60-79,0.3555499399835744
2021-07-01,80-89,0.4036183587086992
2021-07-01,90+,0.19370301345631435
2021-07-02,0-19,0.00022897026544759739
2021-07-02,20-39,0.00255025502550255
2021-07-02,40-59,0.044341276232886445
2021-07-02,60-79,0.355582926713724
2021-07-02,80-89,0.4036035182465615
2021-07-02,90+,0.1936930535158779
2021-07-03,0-19,0.00023682278550960317
2021-07-03,20-39,0.0025576860835037143
2021-07-03,40-59,0.04434111954024803
2021-07-03,60-79,0.3555657301641182
2021-07-03,80-89,0.40360917925116635
2021-07-03,90+,0.1936894621754541
2021-07-04,0-19,0.00023681156903451923
2021-07-04,20-39,0.002573352383508442
2021-07-04,40-59,0.04434691316119763
2021-07-04,60-79,0.3555409960294594
2021-07-04,80-89,0.40360585082449896
2021-07-04,90+,0.1936960760323011
2021-07-05,0-19,0.0002209805221454052
2021-07-05,20-39,0.002580736812198125
2021-07-05,40-59,0.04430659469015374
2021-07-05,60-79,0.35556555229346215
