Data,Età,Daily_extinct,Extinct,Infected,Recovered
2022-10-28,10-19,0.0,0.00019322792939224133,0.08816707572506136,0.11639038360615668
2022-10-28,20-29,0.0,0.0007615453687811864,0.09357532028629804,0.114138153212414
2022-10-28,30-39,0.0,0.0025858443492197004,0.12076512123976818,0.134482857779599
2022-10-28,40-49,0.019417475728155338,0.009485218063401494,0.14712449081867363,0.16240492519823727
2022-10-28,50-59,0.019417475728155338,0.035735800588776866,0.16847235964585394,0.1605790037454799
2022-10-28,60-69,0.019417475728155338,0.09960331442730652,0.1286566286734943,0.10481781223715142
2022-10-28,70-79,0.18446601941747573,0.2428079428045329,0.10226593721489058,0.072813234628076
2022-10-28,80-89,0.4563106796116505,0.40327237181600156,0.06635419745312962,0.03988464317294628
2022-10-28,>90,0.30097087378640774,0.20532172450243807,0.017839015175852277,0.009703066476876514
2022-10-29,0-9,0.0,0.00023301015014946748,0.06677985376697806,0.08478591994306295
2022-10-29,10-19,0.0,0.00019322792939224133,0.08816707572506136,0.11639038360615668
2022-10-29,20-29,0.0,0.0007615453687811864,0.09357532028629804,0.114138153212414
2022-10-29,30-39,0.0,0.0025858443492197004,0.12076512123976818,0.134482857779599
2022-10-29,40-49,0.019417475728155338,0.009485218063401494,0.14712449081867363,0.16240492519823727
2022-10-29,50-59,0.019417475728155338,0.035735800588776866,0.16847235964585394,0.1605790037454799
2022-10-29,60-69,0.019417475728155338,0.09960331442730652,0.1286566286734943,0.10481781223715142
2022-10-29,70-79,0.18446601941747573,0.2428079428045329,0.10226593721489058,0.072813234628076
2022-10-29,80-89,0.4563106796116505,0.40327237181600156,0.06635419745312962,0.03988464317294628
2022-10-29,>90,0.30097087378640774,0.20532172450243807,0.017839015175852277,0.009703066476876514
2022-10-30,0-9,0.0,0.00023301015014946748,0.06677985376697806,0.08478591994306295
2022-10-30,10-19,0.0,0.00019322792939224133,0.08816707572506136,0.11639038360615668
2022-10-30,20-29,0.0,0.0007615453687811864,0.09357532028629804,0.114138153212414
